DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOODBORNE DISEASE CONTROL,HUTCHISON SCIENTIFIC LTD,1011700039,47830.76,"FS241051A: Additonal cost for Deliverables 9, 11, 12, 14, 15, 16 ",DD5 3EZ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - AMORTISATION - INTANGIBLE ASSETS,OPERATIONS ASSURANCE DIVISION,S F W LTD,1011700094,38465,End of Sprint 4,GU22 7UY,Capital
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYSIS & RESEARCH BRANCH,C E F A S,2012700006,31361.4,2015-2016: RETENTION,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOOD HYGIENE POLICY BRANCH,SEAFOOD SAFETY ASSESSMENT,1011700201,30000,FS101068: D01/03B-Submit draft literature review to FSA,IV44 8RG,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,MICROBIOLOGICAL FOOD SAFETY BRANCH,UNIVERSITY OF LIVERPOOL,1011700205,29548,04/02 - Interim report on NoV contamination of soft fruit. Invoice date 30/04/2016,L69 7ZX,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS  - MEETING ROOM HIRE,COMMS,LEWIS LIVE LTD,1011700204,28878.35,Lewis Live - FSA Management Conference 6 7 June 2016 event management cost,KT1 2SZ,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,MICROBIOLOGICAL FOOD SAFETY BRANCH,UNIVERSITY OF LIVERPOOL,1011700205,28489.2,PO 416864 CLAIM FOR DELIVERABLE,L69 7ZX,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,28299.76,GS4 Monthly FM Contract Charges - May 16,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,SECURITY & ESTATES,E D F ENERGY,10000002,25058.19,AVH Electricity EDF inv 1602134 April 2016,EX1 3UT,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,23926.81,CONSOLIDATED INVOICE UPTO 30/11/15,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,MICROBIOLOGICAL FOOD SAFETY BRANCH,UNIVERSITY OF LIVERPOOL,1011700205,23741,05/02 - Interim report on prevalence study of environmental contamination of catering premises. Invoice date 30/04/2016,L69 7ZX,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,23615.67,CONSOLIDATED INVOICE UPTO 29/02/16,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-29,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,FINANCE DIVISION,SHARED SERVICES CONNECTED LTD,1011700192,23335.37,SSCL Management Services June 2016,HP2 7AH,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-29,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,FINANCE DIVISION,SHARED SERVICES CONNECTED LTD,1011700192,23335.37,SSCL Management Services May 2016,HP2 7AH,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS  - MEETING ROOM HIRE,COMMS,LEWIS LIVE LTD,1011700204,22652.85,Lewis Live - FSA Management Conference 6 7 June 2016 event management cost,KT1 2SZ,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONS LOCAL DELIVERY DIVISION,C E F A S,2012700004,22549.06,Classification management E&W 2016/17,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,PROCUREMENT,BRAVOSOLUTION UK LTD,1011700057,22500,Bravo Advantage 16 - Licence Costs - Full Suite Sourcing Portal 10 core users and Enterprise wide evaluator/light touch licenses for 2016,EC2M 7AD,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-26,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT STRATEGY & DEVELOPMENT,CAPITA SECURE INFORMATION SOLUTIONS LTD,10000019,21712,KCOM Annual Rental (Rackspace / Management / Licensing / Virtualisation / Shared Storage / Data Backup) 1 year,SN14 0TW,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"AGRICULTURAL, PROCESS & ENVIRONMENTAL CONTAMINANTS",FERA SCIENCE LIMITED,1011700027,21495,FS102116      3A: Tropane alkaloid.....,YO41 1LZ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONS LOCAL DELIVERY DIVISION,C E F A S,2012700004,20996.24,CEFAS Phytoplankton testing FY16/17,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONS LOCAL DELIVERY DIVISION,C E F A S,2012700004,20652.32,CEFAS Biotoxin DSP testing FY16/17,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,19609.21,CONSOLIDATED INVOICE UPTO 31/01/16,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - AMORTISATION - INTANGIBLE ASSETS,OPERATIONS ASSURANCE DIVISION,S F W LTD,1011700094,17499,End of Inception Phase 1,GU22 7UY,Capital
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,17472,"FS102087 (00/01) Project management, policy relevance and peer review Deliverable D24",W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - AMORTISATION - INTANGIBLE ASSETS,OPERATIONS ASSURANCE DIVISION,S F W LTD,1011700070,17443,Sprit 4/5 and Transition,GU22 7UY,Capital
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,17404.53,CONSOLIDATED INVOICE UPTO 31/03/16,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,OPERATIONAL DELIVERY,TOPSPEED COURIERS LIMITED,1011700116,17269.8,Topspeed couriers - RIM collections and return RIM boxes to APHA offices.,WA16 8XN,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - AMORTISATION - INTANGIBLE ASSETS,OPERATIONS ASSURANCE DIVISION,S F W LTD,1011700070,17215,End of Sprint 4,GU22 7UY,Capital
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,17155.2,GS4 Monthly Security Contract Charges - May 2016,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,HEAD OF DIVISION & RADIOLOGICAL UNIT,C E F A S,2012700003,17047,FS102066 S  Bulk Payment for: 2016 Del 06/01 - 06/12,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,16938.25,G4S Monthly Cleaning Contract Charges May 2016,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONS LOCAL DELIVERY DIVISION,C E F A S,2012700004,16497.98,CEFAS Biotoxin PSP testing FY16/17,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,15882.5,CONSOLIDATED INVOICE UPTO 31/12/15,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-17,"EXP - PURCHASE OF GOODS/SERVICES - TRICHINELLA TESTING, CARRIAGE & CONSUMABLES",OPERATIONAL DELIVERY,TOPSPEED COURIERS LIMITED,1011700116,15660,Topspeed couriers - Trichinella collections,WA16 8XN,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONS LOCAL DELIVERY DIVISION,C E F A S,2012700004,15363.5,CEFAS Biotoxin ASP testing FY16/17,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,9741.6,FS102087 (D 04/02a) Draft set of outcomes for evaluation for use in WP4 Deliverable D7a,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,9047.6,G4s Monthly FM Cleaning Contract Charges VAT charge - May 2016,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,CAPITA SECURE INFORMATION SOLUTIONS LTD,10000019,8646.21,LAMES Application Migration - Capita Resource,SN14 0TW,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,OPERATIONAL DELIVERY,TOPSPEED COURIERS LIMITED,1011700116,7510,Topspeed couriers - TB collections ,WA16 8XN,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,7418.4,FS102087 (D 04/01a) Expert elicited Sequelae symptom descriptions underpinning QALYs associated for selected pathogens Deliverable D6a,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,7260.4,FS102087 (D 02/01a)Progress report headline figures regarding patient data (anonymised) Deliverable D2a,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,CAPITA SECURE INFORMATION SOLUTIONS LTD,10000019,6834.45,LAMES Application Migration - KCom Setup,SN14 0TW,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYSIS & RESEARCH BRANCH,C E F A S,2012700006,6650.6,2015-2016: RETENTION,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,6304.8,FS102087 (D 02/02a)Presentation on data structure and modelling of FBDs and EQ-5D scores Deliverable D3a,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,6072,FS102087 (D 06/01)-Draft final report Deliverable D20a,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,SECURITY & ESTATES,E D F ENERGY,10000002,5011.63,AVH Electricity EDF inv 1602134 April 2016 - VAT Charge,EX1 3UT,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,4785.38,CONSOLIDATED INVOICE UPTO 30/11/15,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,4723.19,CONSOLIDATED INVOICE UPTO 29/02/16,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,4645.6,FS102087-(D02/03a)Interim Progress Report I Deliverable D5a,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,PROCUREMENT,BRAVOSOLUTION UK LTD,1011700057,4500,BRAVO ADVANTAGE 16,EC2M 7AD,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS,CLUSTER 56,LEX AUTOLEASE LTD,1011700200,3945.36,"VOLKSWAGEN GOLF DIESEL HATCHBACK 1.6 TDI BlueMotion 5dr - 3YR LEASE -, YEAR 2016/17",SK3 0RB,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS,CLUSTER 57,LEX AUTOLEASE LTD,1011700200,3935.52,NISSAN QASHQAI DIESEL HATCHBACK 1.6 dCi Tekna 5dr - 3YR LEASE - YEAR 2016/17,SK3 0RB,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,3921.77,CONSOLIDATED INVOICE UPTO 31/01/16,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS,OPERATIONAL DELIVERY,LEX AUTOLEASE LTD,1011700200,3860.04,VA Insignia Diesel Hatchback 2.0 - 2016/2017,SK3 0RB,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,CAPITA SECURE INFORMATION SOLUTIONS LTD,10000019,3777.9,LAEMS Project Overspend,SN14 0TW,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS,OPERATIONAL DELIVERY,LEX AUTOLEASE LTD,1011700200,3682.92,NISSAN QASHQAI DIESEL 1.5 HATCHBACK--2016/2017,SK3 0RB,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS,OPERATIONAL DELIVERY,LEX AUTOLEASE LTD,1011700200,3587.64,VA INSIGNIA DIESEL HATCHBACK 2.0 CDTi Years 2016/17,SK3 0RB,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS,OPERATIONAL DELIVERY,LEX AUTOLEASE LTD,1011700200,3492.6,Ford Mondeo Diesel Estate 2.0 -  2016/2017,SK3 0RB,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,3480.88,CONSOLIDATED INVOICE UPTO 31/03/16,HU1 2SJ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,3431.04,G4S Monthly Security Contract Charges VAT Charge - May 2016,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,HEAD OF DIVISION & RADIOLOGICAL UNIT,C E F A S,2012700003,3409.4,PROJECT C6133 APRIL 2016,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS,CONSUMER PROTECTION & COMMERCIAL SUPPORT,LEX AUTOLEASE LTD,1011700200,3282,Volvo V40 Diesel Hatchback  2016-2017,SK3 0RB,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-08,EXP - PURCHASE OF GOODS/SERVICES- OTHER -MEAT INSPECTION EQUIPMENT / CONSUMABLES,OPERATIONAL DELIVERY,ARCO UK LTD,1011700041,3176.45,CONSOLIDATED INVOICE UPTO 31/12/15,HU1 2SJ,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-13,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,PROCUREMENT,BRAVOSOLUTION UK LTD,1011700057,3000,Bravo Advantage 16 - One-off two day training course 1-2 March 2016,EC2M 7AD,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - ANALYSIS OF SAMPLES (NON TRICHINELLA),OPERATIONAL DELIVERY,FERA SCIENCE LIMITED,1011700027,2700,PBZ testing of horses at Fera and associated kit costs,YO41 1LZ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,2480,FS102087-(D 05/01) Selection of pathogens/illnesses to be assessed in WP4 Deliverable D9 ,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,OPERATIONAL DELIVERY,TOPSPEED COURIERS LIMITED,1011700116,2070,Topspeed couriers - Campy collections ,WA16 8XN,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,1919.16,G4S Monthly FM Performance - May 2016,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONS LOCAL DELIVERY DIVISION,C E F A S,2012700006,1600.15,SLA-inspection & approval of shellfish purification plants - FY15/16,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700056,1578.13,FS102087 (D 04/03a)Summary note - seq and age of onset with QALYs Deliverable D8a,W1W 7SQ,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,1164.89,G4S Monthly Cleaning Performance - May 2016,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,SECURITY & ESTATES,G4S FACILITIES MANAGEMENT UK LTD,1011700147,1163.39,G4S Monthly Security Performance Charges - May 2016,S81 7QF,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,OPERATIONAL DELIVERY,TOPSPEED COURIERS LIMITED,1011700116,1030.7,Topspeed couriers - RCDM collections,WA16 8XN,Programme
