DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,DEFRA C/O CAPITA,1011701388,14058.49,CAPITA INVICE 100254/9699 - FOSS HOUSE RENT RATES AND UTILITIES OCTOMBER 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,FERA SCIENCE LIMITED,1011701278,13738.45,QUARTERLY REPORT 14,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-01,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701247,12007.82,SCCM DEPLOYMENT AUG16 RESOURCE ,SN14 0TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-04,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,DEFRA C/O CAPITA,1011701280,11971.57,CAPITA INVOICE 100245/9679- FOSS HOUSE RENT AND UTILITIES -SEPTEMBER 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-16,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,DEFRA C/O CAPITA,1011701388,10499.19,CAPITA INVICE 100254/9699 - FOSS HOUSE RENT RATES AND UTILITIES OCTOMBER 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-03,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,DEFRA C/O CAPITA,1011701259,10446.83,FM CORE COSTS OCT 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-28,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,Regulating our Future,COMOTION CONSULTING LTD,1011701474,10135.84,MOBILISATION TO DELIVERY  SEPTEMBER 2016,EC1A 9PT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-28,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,Regulating our Future,COMOTION CONSULTING LTD,1011701474,10100.53,MOBILISATION TO DELIVERY OCTOBER 2016,EC1A 9PT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-01,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,Regulatory Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701247,9534.78,FHRS NI CHANGES,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701448,7595,BYOD GOOD LIENCENCES CUSTOMER ,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011701356,7160,TB PROJECT * 59,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,GFK UK LTD,1011701442,5210,FHRS DISPLAY SURVEY ,E14 5LQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IT Information & Knowledge Management,CAPITA BUSINESS SERVICES LTD,1011701443,5074.14,TEMPORARY STAFF P/E 12-11-16,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-29,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Regulatory Delivery ,REDFERN TRAVEL LTD,1011701479,3917.11,CONSOLIDATED BUSINESS TRAVEL WEEK 47,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-02,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Chair & Deputy Chair,REDFERN TRAVEL LTD,1011701252,3802.33,CONSOLIDATED BUSINESS TRAVEL WK 43,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701247,3668.91,YORK IL2 CONSOLIDATION,SN14 0TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700099,3409.4,INVOICE FOR THE OCT 2016 PROJECT CODE FS102066S,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-15,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,10000057,3261.15,CONSOLIDATED BUSINESS TRAVEL WK 41,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Planning and Performance,CAPITA BUSINESS SERVICES LTD,1011701443,3004.92,TEMPORARY STAFF P/E 12-11-16,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Planning and Performance,CAPITA BUSINESS SERVICES LTD,1011701443,2902.5,TEMPORARY STAFF P/E 12-11-16,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Finance Director & Branch,CAPITA BUSINESS SERVICES LTD,1011701443,2849.08,TEMPORARY STAFF P/E 12-11-16,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Finance Director & Branch,CAPITA BUSINESS SERVICES LTD,1011701443,2849.08,TEMPORARY STAFF P/E 12-11-16,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-15,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,10000057,2716.8,CONSOLIDATED BUSINESS TRAVEL WK 41,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-17,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Finance Director & Branch,REDFERN TRAVEL LTD,1011701397,2468.95,CONSOLIDATED BUSINESS TRAVEL WK 45,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-01,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701247,2401.56,SCCM DEPLOYMENT AUG16 RESOURCE ,SN14 0TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,Regulatory Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701448,2352.12,FHRS NI CHANGES,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-29,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,1011701479,2242.55,CONSOLIDATED BUSINESS TRAVEL WEEK 47,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-17,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011701397,2133.7,CONSOLIDATED BUSINESS TRAVEL WK 45,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,1011701444,2067.7,CONSOLIDATED BUSINESS TRAVEL WEEK 46,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Organisational Development,CAPITA BUSINESS SERVICES LTD,1011701443,2030.64,TEMPORARY STAFF P/E 12-11-16,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-29,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Planning and Performance,REDFERN TRAVEL LTD,1011701479,1987.01,CONSOLIDATED BUSINESS TRAVEL WEEK 47,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-15,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Chair & Deputy Chair,REDFERN TRAVEL LTD,10000057,1969.13,CONSOLIDATED BUSINESS TRAVEL WK 41,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701448,1965.3,PSN EXCHANGE 2013,SN14 0TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-02,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Finance Director & Branch,REDFERN TRAVEL LTD,1011701252,1936.35,CONSOLIDATED BUSINESS TRAVEL WK 43,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011701356,1845,CAMPY * 41,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011701444,1830.2,CONSOLIDATED BUSINESS TRAVEL WEEK 46,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Regulatory Delivery ,REDFERN TRAVEL LTD,1011701444,1801,CONSOLIDATED BUSINESS TRAVEL WEEK 46,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-02,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Chief Executive & Private Office,REDFERN TRAVEL LTD,1011701252,1757.33,CONSOLIDATED BUSINESS TRAVEL WK 43,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-02,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011701252,1729.1,CONSOLIDATED BUSINESS TRAVEL WK 43,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-15,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Regulatory Delivery ,REDFERN TRAVEL LTD,10000057,1654.35,CONSOLIDATED BUSINESS TRAVEL WK 41,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-29,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011701479,1620.75,CONSOLIDATED BUSINESS TRAVEL WEEK 47,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701448,1600.87,GOOD COLLABORATION SUITE(PROJECT&PCN),SN14 0TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,GFK UK LTD,1011701442,1600,FHRS DISPLAY SURVEY ,E14 5LQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-17,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,1011701397,1594.36,CONSOLIDATED BUSINESS TRAVEL WK 45,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-29,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operational Delivery,REDFERN TRAVEL LTD,1011701479,1552.08,CONSOLIDATED BUSINESS TRAVEL WEEK 47,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-11-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701448,1519,BYOD GOOD LICENCES CUSTOMER,SN14 0TW,ADMIN
