DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Regulating our Future,T N S UK LTD,1011700520,39069,ROF - Consumer insight work with the public and small business about early blueprints for a future regulatory model.,SE1 2QY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011700695,32210,Feed Off. Conts 2016/17 NTS/TSI fees. Feed Official Controls funding 2016/17: NTS/TSI fees,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700044,31950.8,SHELLFISH SAMPLE ANALYSIS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-26,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700738,29908.8,RSA REPLACEMENT,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Microbiological Food Safety Branch,UNIVERSITY OF LIVERPOOL,1011700516,29548,NOROVIRUS ATTRIBUTION STUDY,L69 7ZX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,28299.76,G4S INVOICE 90130583 - CONTRACT CHARGES - AUGUST 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011700571,27768.03,INV 1949442 JUL16,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - LAUNDRY,Operational Delivery,APPARELMASTER UK LTD,1011700492,25597.55,REGION 546 MEW CONTRACT,PR2 9ZD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Microbiological Food Safety Branch,UNIVERSITY OF LIVERPOOL,1011700516,23741,NOROVIRUS ATTRIBUTION STUDY,L69 7ZX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-22,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011700681,23335.37,SERVICES BETWEEN 01/08/2016 & 31/08/2016,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700044,22526.56,SHELLFISH SAMPLE ANALYSIS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700044,20652.32,SHELLFISH SAMPLE ANALYSIS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - LAUNDRY,Operational Delivery,APPARELMASTER UK LTD,1011700505,20596.77,NET USEAGE AND RENTAL,PR2 9ZD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - LAUNDRY,Operational Delivery,APPARELMASTER UK LTD,1011700505,20513.73,546 NEW CONTRACT,PR2 9ZD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Regulating our Future,T N S UK LTD,1011700520,19534.5,ROF - Consumer insight work with the public and small business about early blueprints for a future regulatory model.,SE1 2QY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-11,EXP - PERMANENT UK STAFF - BONUSES - ADMIN,Directorate Support Unit,UNIVERSITY OF SOUTHAMPTON,1011700597,19462.35,SECONDMENT ,SO17 1BJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-11,EXP - PERMANENT UK STAFF - BONUSES - ADMIN,Directorate Support Unit,UNIVERSITY OF SOUTHAMPTON,1011700597,19172.33,SECONDMENT ,SO17 1BJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - RENTALS UNDER NON PFI OPERATING LEASES  -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,DEFRA C/O CAPITA,1011700509,18081.62,CAPITA INV. 100254/9366,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,17155.2,G4S INVOICE 90130583 - CONTRACT CHARGES - AUGUST 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,16938.25,G4S INVOICE 90130583 - CONTRACT CHARGES - AUGUST 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700044,16497.98,SHELLFISH SAMPLE ANALYSIS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011700629,15997.5,DIM X 354 RIM BLOOD X61 BOX RETURNS X 47,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,15722.42,PSN EXCHANGE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700044,15386,SHELLFISH SAMPLE ANALYSIS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-16,"EXP - PURCHASE OF GOODS/SERVICES - TRICHINELLA TESTING, CARRIAGE & CONSUMABLES",Operational Delivery,TOPSPEED COURIERS LIMITED,1011700629,14805,TRICH X329,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700640,11249.8,VOIP CALL CHARES APR MAY 2016,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,DEFRA C/O CAPITA,1011700509,10224.88,CAPITA INV. 100254/9242,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,DEFRA C/O CAPITA,1011700509,10224.88,CAPITA INV. 100254/9266,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-23,EXP - PERMANENT UK STAFF - EMPLOYER'S SOCIAL SECURITY COSTS -OFFICE BASED,Finance Director & Branch,H M REVENUE & CUSTOMS,1011700692,9872.49,CLASS 1A NICS 948PW000028261613,BD98 8AA,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,9047.6,G4S INVOICE 90130583 - CONTRACT CHARGES - AUGUST 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-23,EXP - PERMANENT UK STAFF - BASIC SALARY - BOARD,Chair & Deputy Chair,H M REVENUE & CUSTOMS,1011700692,8102.17,15-16 XP007167040698,BD98 8AA,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011700629,7820,TB PROJECT X60 TB RED MEAT X80 TB DNA X12,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,MACLAREN WEST LTD,1011700493,6300,SUPPORT FOR LABORTARIES,G68 9JS,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-26,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700738,6198.72,RSA REPLACEMENT,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,5925.96,GOOD COLLOBORATION SUITE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Microbiological Food Safety Branch,UNIVERSITY OF LIVERPOOL,1011700516,5909.6,NOROVIRUS ATTRIBUTION STUDY,L69 7ZX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,5663.79,INFRASTRCUTRE CONVERGENCE OPTIONS,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011700571,5549.07,INV 1949442 JUL16,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700640,5491.08,VOIP CALL CHARGES APR JUN2016,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - AMORTISATION - INTANGIBLE ASSETS,Operations Assurance ,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,5223.6,SIR APPLICATION SERVER MIGRATION,SN14 0TW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,5000,NEW SOTRAGE FOR ARK DMZ YEAR 1,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-23,EXP - PERMANENT UK STAFF - EMPLOYER'S SOCIAL SECURITY COSTS -OFFICE BASED,Finance Director & Branch,H M REVENUE & CUSTOMS,1011700692,4971.49,CLASS 1A NIC 948PV000028251613,BD98 8AA,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-26,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700738,4219,RSA REPLACEMENT,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,3510.2,SCCM Addition to Branch Office Upgrade Project - T&M Proposal,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-01,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700490,3492,YORK POWER DOWN,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,3431.04,G4S INVOICE 90130583 - CONTRACT CHARGES - AUGUST 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700640,3290.88,FHRS CPU ENHANCED UTILISATION TO AUG 2016,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700640,3290.88,FHRS ENHANCED CPU UTILISAION TO JUL16,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operations Local Delivery ,REDFERN TRAVEL LTD,1011700511,3190.27,TRAVEL FOR WEEK 2016-30,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,3144.48,PSN EXCHANGE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-23,EXP - PERMANENT UK STAFF - EMPLOYER'S SOCIAL SECURITY COSTS - BOARD,Chair & Deputy Chair,H M REVENUE & CUSTOMS,1011700692,3090.48,PAYE SETTLEMENT 15-16 XP007167040698,BD98 8AA,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-01,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700490,2536.56,CITRIX UPGRADE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700640,2249.96,VOIP CALL CHARES APR MAY 2016,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Local Delivery ,REDFERN TRAVEL LTD,1011700511,2234.5,TRAVEL FOR WEEK 2016-30,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700490,2165.22,FHRS OOH SUPPORT,SN14 0TW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,1919.16,G4S INVOICE 90130582 - PERFORMANCE REALTED - AUG 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Finance Director & Branch,REDFERN TRAVEL LTD,1011700511,1786,TRAVEL FOR WEEK 2016-30,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011700629,1755,CAMPY X39,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Chair & Deputy Chair,REDFERN TRAVEL LTD,1011700511,1718.33,TRAVEL FOR WEEK 2016-30,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011700511,1516.7,TRAVEL FOR WEEK 2016-30,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700640,1459.5,FSA BELFAST DISPOSAL,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,1431.6,SCCM Upgrade - Expenses,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,1011700511,1382,TRAVEL FOR WEEK 2016-30,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-03,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operational Delivery,REDFERN TRAVEL LTD,1011700511,1324.33,TRAVEL FOR WEEK 2016-30,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,1185.19,GOOD COLLOBORATION SUITE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,1164.89,G4S INVOICE 90130582 - PERFORMANCE REALTED - AUG 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700648,1163.39,G4S INVOICE 90130582 - PERFORMANCE REALTED - AUG 2016,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700503,1132.76,INFRASTRCUTRE CONVERGENCE OPTIONS,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-26,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700738,1084.8,RSA REPLACEMENT,SN14 0TW,ADMIN
